Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Http Request /,8,1562,1451,1615,2255,2255,1385,2255,0.000%,.00027,0.13,0.00
Http Request /sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,924,924,951,974,974,887,974,100.000%,.00024,0.06,0.00
Http Request /products/dxp,7,1946,2005,2013,2159,2159,1513,2159,0.000%,.00024,0.08,0.00
Http Request /downloads-community,7,2333,1882,2091,5455,5455,1318,5455,14.286%,.00024,0.07,0.00
Http Request /blog/en-us/digital-strategy/16-awesome-web-portal-examples,7,1266,1079,1088,2410,2410,1064,2410,0.000%,.00024,0.08,0.00
Http Request /es/home,7,1483,1466,1477,1612,1612,1450,1612,0.000%,.00024,0.12,0.00
Http Request /products/dxp/30-day-trial,7,1198,1127,1389,1424,1424,1095,1424,0.000%,.00024,0.05,0.00
Http Request /marketplace,7,1693,1557,1580,2588,2588,1510,2588,0.000%,.00024,0.03,0.00
Http Request /es/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,1032,933,989,1585,1585,901,1585,100.000%,.00024,0.06,0.00
Http Request /home,7,1421,1419,1439,1481,1481,1374,1481,0.000%,.00024,0.11,0.00
Http Request /downloads/thanks-for-downloading,7,1582,1588,1650,1667,1667,1486,1667,0.000%,.00024,0.07,0.00
Http Request /resources/l/digital-business,7,1322,1343,1351,1371,1371,1240,1371,0.000%,.00024,0.06,0.00
Http Request /careers,7,1015,983,1024,1215,1215,951,1215,0.000%,.00024,0.05,0.00
Http Request /ja/home,7,1446,1417,1462,1578,1578,1409,1578,0.000%,.00024,0.12,0.00
Http Request /products/dxp-cloud,7,2134,2192,2257,2366,2366,1570,2366,0.000%,.00024,0.10,0.00
Http Request /de/home,7,1562,1523,1610,1742,1742,1490,1742,0.000%,.00024,0.11,0.00
Http Request /es/resources/l/web-portal,7,1340,1336,1377,1428,1428,1263,1428,0.000%,.00024,0.06,0.00
Http Request /it/home,7,1460,1430,1482,1610,1610,1417,1610,0.000%,.00024,0.11,0.00
Http Request /resources,7,1932,1344,1414,5464,5464,1298,5464,14.286%,.00024,0.08,0.00
Http Request /es/products/dxp,7,1651,1463,2027,2104,2104,1427,2104,0.000%,.00024,0.08,0.00
Http Request /products/commerce,7,1329,1281,1335,1683,1683,1203,1683,0.000%,.00024,0.07,0.00
Http Request /it/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,959,950,1022,1024,1024,895,1024,100.000%,.00024,0.06,0.00
Http Request /resources/l/digital-experience,7,1315,1305,1351,1392,1392,1255,1392,0.000%,.00024,0.05,0.00
Http Request /resources/l/digital-experience-platform,7,1291,1287,1360,1447,1447,1125,1447,0.000%,.00024,0.06,0.00
Http Request /es/downloads-community,7,1618,1449,1938,2054,2054,1346,2054,0.000%,.00024,0.07,0.00
Http Request /sign-in,7,927,915,937,1021,1021,888,1021,100.000%,.00024,0.06,0.00
Http Request /resources/l/digital-customer-experience,7,1342,1322,1427,1461,1461,1141,1461,0.000%,.00024,0.06,0.00
Http Request /services/support/compatibility-matrix,7,913,922,925,950,950,889,950,100.000%,.00024,0.06,0.00
Http Request /subscription-services,7,1637,1675,1743,1805,1805,1265,1805,0.000%,.00024,0.10,0.00
Http Request /supporting-products/liferay-sync,7,1505,1494,1551,1619,1619,1428,1619,0.000%,.00024,0.06,0.00
Http Request /fr/home,7,1565,1570,1592,1645,1645,1507,1645,0.000%,.00024,0.12,0.00
Http Request /blog/es-es/transformacion-digital/cinco-ejemplos-de-intranet-que-potencian-la-productividad,7,1192,1177,1216,1451,1451,1084,1451,0.000%,.00024,0.08,0.00
Http Request /web/landing/welcome,7,924,910,927,1015,1015,894,1015,100.000%,.00024,0.06,0.00
Http Request /company/our-story,7,1810,1807,1857,1889,1889,1733,1889,0.000%,.00024,0.09,0.00
Http Request /pt/home,7,1554,1572,1580,1634,1634,1498,1634,0.000%,.00024,0.11,0.00
Http Request /services/partners,7,1805,1768,1801,2107,2107,1695,2107,0.000%,.00024,0.06,0.00
Http Request /marketplace-upgrade,7,1058,1035,1100,1111,1111,1023,1111,0.000%,.00024,0.05,0.00
Http Request /solutions/customer-portals,7,1618,1621,1666,1859,1859,1328,1859,0.000%,.00024,0.07,0.00
Http Request /products/dxp/content-management,7,1430,1381,1562,1600,1600,1328,1600,0.000%,.00024,0.06,0.00
Http Request /solutions/intranets,7,1618,1632,1694,1716,1716,1489,1716,0.000%,.00024,0.08,0.00
Http Request /c/portal/verify_email_address,7,972,905,938,1389,1389,883,1389,0.000%,.00024,0.05,0.00
Http Request /resources/-/asset/case-studies,7,2370,1285,4940,5299,5299,1228,5299,14.286%,.00024,0.08,0.00
Http Request /services/training,7,1589,1616,1630,1661,1661,1509,1661,0.000%,.00024,0.06,0.00
Http Request /request-a-demo,7,1369,1392,1542,1639,1639,1030,1639,0.000%,.00024,0.07,0.00
Http Request /it/downloads-community,7,1488,1346,1480,2252,2252,1318,2252,0.000%,.00024,0.07,0.00
Http Request /zh/home,7,1550,1536,1573,1660,1660,1483,1660,0.000%,.00024,0.11,0.00
Http Request /locations,7,2548,2535,2608,2676,2676,2466,2676,0.000%,.00024,0.10,0.00
Http Request /c/portal/saml/slo_logout,7,949,892,904,1309,1309,876,1309,0.000%,.00024,0.05,0.00
Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/create_account,7,901,894,906,944,944,883,944,100.000%,.00024,0.06,0.00
Http Request /solutions/websites,7,1700,1688,1734,1802,1802,1628,1802,0.000%,.00024,0.08,0.00
Http Request /de/products/dxp,7,1518,1534,1574,1577,1577,1421,1577,0.000%,.00024,0.08,0.00
Http Request /solutions/industries/banking,7,1713,1720,1745,1777,1777,1657,1777,0.000%,.00024,0.06,0.00
Http Request /marketplace/-/mp/application/15188711,7,532,531,538,545,545,527,545,100.000%,.00024,0.00,0.00
Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=/login/create_account_trial&_58_redirect=/c/portal/register_trial_license?redirect=/digital-experience-platform/30-day-trial,7,948,977,982,995,995,894,995,100.000%,.00024,0.06,0.00
Http Request /marketplace/-/mp/application/34680961,7,513,513,517,518,518,510,518,100.000%,.00024,0.00,0.00
Http Request /it/products/dxp,7,1505,1529,1552,1555,1555,1410,1555,0.000%,.00024,0.08,0.00
Http Request /digital-experience-platform/30-day-trial,7,954,947,997,1004,1004,922,1004,0.000%,.00024,0.02,0.00
Http Request /es/products/dxp/30-day-trial,7,1254,1163,1440,1508,1508,1130,1508,0.000%,.00024,0.06,0.00
Http Request /products/analytics-cloud,7,1689,1703,1736,1738,1738,1608,1738,0.000%,.00024,0.07,0.00
Http Request /products/dxp/horizontal-portal,7,1456,1430,1474,1555,1555,1417,1555,0.000%,.00024,0.06,0.00
Http Request /company/gartner/magic-quadrant-digital-experience-platforms,7,1486,1466,1509,1646,1646,1419,1646,0.000%,.00024,0.06,0.00
Http Request /resources/l/web-portal,7,1197,1189,1324,1390,1390,1060,1390,0.000%,.00024,0.06,0.00
Http Request /de/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,959,971,990,1028,1028,901,1028,100.000%,.00024,0.06,0.00
Http Request /c/portal/saml/sso,7,281,232,233,581,581,230,581,0.000%,.00024,0.00,0.00
Http Request /resources/l/digital-strategy,7,1310,1292,1365,1366,1366,1252,1366,0.000%,.00024,0.06,0.00
Http Request /fr/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,920,903,920,1030,1030,890,1030,100.000%,.00024,0.06,0.00
Http Request /blog/en-us/customer-experience/what-are-the-five-moments-of-truth-in-marketing-,7,1297,1148,1202,2353,2353,1052,2353,0.000%,.00024,0.08,0.00
Http Request /de/downloads-community,7,1512,1454,1555,1938,1938,1333,1938,0.000%,.00024,0.07,0.00
Http Request /en/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,956,941,1022,1028,1028,890,1028,100.000%,.00024,0.06,0.00
Http Request /resource/mercury-insurance-group,7,1138,1096,1124,1409,1409,1056,1409,0.000%,.00024,0.06,0.00
Http Request /es/marketplace,7,1545,1515,1562,1726,1726,1440,1726,0.000%,.00024,0.03,0.00
Http Request /fr/downloads-community,7,1371,1368,1382,1432,1432,1336,1432,0.000%,.00024,0.07,0.00
Http Request /products/commerce/all-features,7,1519,1524,1572,1581,1581,1462,1581,0.000%,.00024,0.06,0.00
Http Request /30-Day Download EE Trial - END,7,937,932,961,995,995,904,995,100.000%,.00024,0.06,0.00
Http Request /pt/blog/pt-br/estrategia-digital/estrategias-front-end-para-2019,7,1201,1149,1308,1599,1599,1057,1599,0.000%,.00024,0.08,0.00
Http Request /contact-us,7,1531,1536,1662,1765,1765,1240,1765,0.000%,.00024,0.07,0.00
Http Request /products/dxp/trial-download,7,1258,1139,1446,1451,1451,1113,1451,0.000%,.00024,0.06,0.00
Http Request /pt/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,1043,901,915,1897,1897,886,1897,100.000%,.00024,0.06,0.00
Http Request /es/downloads/thanks-for-downloading,7,1441,1458,1616,1646,1646,1179,1646,0.000%,.00024,0.07,0.00
Http Request /blog/en-us/digital-strategy/portal-vs-website-when-to-use-each,7,1150,1117,1284,1290,1290,1058,1290,0.000%,.00024,0.08,0.00
Http Request /webinaari-liferay-dxp-7-1,7,920,907,943,969,969,884,969,100.000%,.00024,0.06,0.00
Http Request /ja/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login&p_p_id=58&p_p_lifecycle=0&_58_redirect=/c/portal/saml/sso,7,944,931,979,1071,1071,886,1071,100.000%,.00024,0.06,0.00
Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/login,7,917,914,937,973,973,881,973,100.000%,.00024,0.06,0.00
Http Request /c/portal/update_password,7,1058,901,1412,1536,1536,881,1536,0.000%,.00024,0.05,0.00
Http Request /fr/products/dxp,7,1725,1495,2060,2094,2094,1466,2094,0.000%,.00024,0.08,0.00
Http Request /c/portal/saml/acs,7,988,925,1019,1320,1320,881,1320,0.000%,.00024,0.05,0.00
Http Request /en/home,7,1429,1432,1441,1480,1480,1401,1480,0.000%,.00024,0.11,0.00
Http Request /ja/products/dxp,7,1438,1461,1467,1507,1507,1277,1507,0.000%,.00024,0.08,0.00
Http Request /marketplace/-/mp/application/39709761,7,547,540,561,584,584,526,584,100.000%,.00024,0.00,0.00
Http Request /partners/technology-partners,7,1172,1173,1312,1324,1324,837,1324,0.000%,.00024,0.02,0.00
Http Request /solutions/partner-portals,7,1662,1701,1743,1807,1807,1307,1807,0.000%,.00024,0.08,0.00
Http Request /services/training/online,7,1242,1232,1324,1357,1357,1019,1357,0.000%,.00024,0.06,0.00
Http Request /downloads/ee-license,7,1207,1266,1295,1437,1437,1052,1437,0.000%,.00024,0.06,0.00
Http Request /ja/downloads-community,7,1472,1369,1482,2005,2005,1335,2005,0.000%,.00024,0.07,0.00
Http Request /zh/downloads-community,7,1441,1462,1496,1533,1533,1339,1533,0.000%,.00024,0.07,0.00
Http Request /es/products/dxp/content-management,7,1425,1435,1548,1583,1583,1218,1583,0.000%,.00024,0.06,0.00
Http Request /resource/allianz,7,1137,1098,1116,1363,1363,1088,1363,0.000%,.00024,0.06,0.00
Http Request /es/services/partners,7,1618,1725,1786,2092,2092,1094,2092,0.000%,.00024,0.06,0.00
Http Request /it/downloads/thanks-for-downloading,7,1186,1170,1233,1256,1256,1143,1256,0.000%,.00024,0.07,0.00
Http Request /services/certification,7,1180,1134,1324,1374,1374,1036,1374,0.000%,.00024,0.05,0.00
Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=/login/forgot_password,7,898,903,916,923,923,879,923,100.000%,.00024,0.06,0.00
Http Request /blog/en-us/digital-strategy/how-to-create-the-best-employee-portal,7,1147,1147,1188,1294,1294,1057,1294,0.000%,.00024,0.08,0.00
Http Request /zh/products/dxp,7,1489,1457,1502,1685,1685,1425,1685,0.000%,.00024,0.08,0.00
Http Request /ja/resources/l/digital-transformation,7,1265,1292,1375,1375,1375,1088,1375,0.000%,.00024,0.06,0.00
Http Request /es/services/certification,7,1174,1085,1304,1379,1379,1053,1379,0.000%,.00024,0.05,0.00
Http Request /es/sign-in,7,956,928,1025,1030,1030,918,1030,100.000%,.00024,0.06,0.00
Http Request /partners/hosting-partners,7,909,906,1070,1088,1088,731,1088,0.000%,.00024,0.01,0.00
Http Request /products/dxp/forms-and-workflow,7,1422,1421,1448,1541,1541,1344,1541,0.000%,.00024,0.06,0.00
Http Request /#products,7,1435,1429,1479,1518,1518,1379,1518,0.000%,.00024,0.11,0.00
Http Request /products/what-is-a-portal/enterprise-cms,7,910,906,921,962,962,885,962,100.000%,.00024,0.06,0.00
Http Request /es/products/commerce,7,1353,1263,1469,1736,1736,1206,1736,0.000%,.00024,0.07,0.00
Http Request /marketplace/download,7,928,918,953,1020,1020,889,1020,100.000%,.00024,0.06,0.00
Http Request /products/dxp/developer-tools,7,1428,1402,1446,1543,1543,1388,1543,0.000%,.00024,0.06,0.00
Http Request /resources/l/content-management-system,7,1365,1326,1381,1572,1572,1288,1572,0.000%,.00024,0.06,0.00
Http Request /solutions/industries/healthcare,7,1651,1654,1745,1747,1747,1562,1747,0.000%,.00024,0.06,0.00
Http Request /es/resources,7,1978,1496,1574,4988,4988,1420,4988,0.000%,.00024,0.08,0.00
Http Request /careers?p=jobs,7,986,987,1017,1021,1021,953,1021,0.000%,.00024,0.05,0.00
Http Request /it/marketplace,7,1552,1581,1599,1626,1626,1429,1626,0.000%,.00024,0.03,0.00
Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view,7,917,897,944,981,981,892,981,100.000%,.00024,0.06,0.00
Http Request /solutions/industries/government,7,1797,1896,2017,2044,2044,1407,2044,0.000%,.00024,0.07,0.00
Http Request /community/liferay-projects/liferay-faces/demos,7,925,921,954,962,962,897,962,100.000%,.00024,0.06,0.00
Http Request /es/services/support/compatibility-matrix,7,924,921,935,986,986,890,986,100.000%,.00024,0.06,0.00
Http Request /ja/resources/l/digital-business,7,1169,1150,1278,1282,1282,1088,1282,0.000%,.00024,0.06,0.00
Http Request /de/resources/l/digital-business,7,1198,1124,1335,1360,1360,1073,1360,0.000%,.00024,0.06,0.00
Http Request /web/events-devcon,7,2144,2674,3130,3928,3928,812,3928,0.000%,.00024,0.08,0.00
Http Request /en/documentation/liferay-portal/6.2/user-guide,7,914,907,950,968,968,880,968,100.000%,.00024,0.06,0.00
Http Request /pt/resources/l/content-management-system,7,1224,1155,1345,1418,1418,1092,1418,0.000%,.00024,0.06,0.00
Http Request /solutions/integration-platforms,7,1550,1607,1740,1823,1823,1310,1823,0.000%,.00024,0.08,0.00
Http Request /es/products/dxp-cloud,7,1930,1809,2304,2305,2305,1601,2305,0.000%,.00024,0.10,0.00
Http Request /es/solutions/intranets,7,1610,1663,1789,1887,1887,1328,1887,0.000%,.00024,0.08,0.00
Http Request /marketplace/-/mp/application/78695724,7,515,518,520,522,522,507,522,100.000%,.00024,0.00,0.00
Http Request /pt/,7,1507,1486,1542,1619,1619,1450,1619,0.000%,.00024,0.11,0.00
Http Request /services/certification/dxp/back-end-developer-71,7,1306,1231,1475,1543,1543,1126,1543,0.000%,.00024,0.06,0.00
Http Request /marketplace/-/mp/application/74034615,7,512,510,519,521,521,508,521,100.000%,.00024,0.00,0.00
Http Request /press-releases,7,1854,1836,1866,1959,1959,1815,1959,0.000%,.00024,0.06,0.00
Http Request /events,7,1139,1109,1159,1314,1314,1083,1314,0.000%,.00024,0.06,0.00
